spanish,english
de,of
que,that
no,No
a,to
la,the
el,he
es,is
y,and
en,in
lo,it
un,a
por,by
me,me
qué,that
una,a
te,tea
los,the
se,HE
con,with
para,for
mi,my
está,this
si,Yeah
pero,but
las,the
su,his
yo,I
tu,you
del,of the
al,to the
como,as
le,you
eso,that
sí,Yeah
esta,this
ya,already
más,further
muy,very
hay,there is
bien,good
estoy,I'm
todo,all
nos,us
tengo,I have
ha,ha
este,this
cuando,when
sólo,only
vamos,come on
cómo,as
estás,are
o,either
soy,am
puedo,I can
esto,this
quiero,wanna
aquí,here
tiene,has
tú,you
ahora,now
algo,something
fue,was
son,are
ser,be
he,I have
era,was
eres,are
así,So
sé,HE
tienes,have
ese,that
bueno,Well
creo,believe
todos,all
sus,their
puede,can
voy,go
tan,so
esa,that
porque,because
dónde,where
hacer,do
quién,who
nunca,never
nada,nothing
él,he
estaba,was
están,are
quieres,want
va,goes
sabes,You know
vez,time
hace,does
ella,she
dos,two
tenemos,have
puedes,can
sin,without
hasta,until
sr,Mr
oh,oh
entonces,so
dios,God
sobre,about
usted,you
ni,neither
has,you have
mis,my
mejor,better
mucho,a lot
gracias,thank you
ver,see
hola,hello
solo,only
estar,be
les,them
estamos,we are
siento,I feel
alguien,someone
otra,other
siempre,always
hombre,man
uno,one
donde,where
quiere,wants
parece,seems
antes,before
ir,go
mira,look
vas,you go
tal,such
tus,your
decir,say
han,they have
ahí,there
poco,bit
estas,are
nadie,nobody
desde,from
sea,be
también,also
tiempo,time
gran,great
dijo,said
favor,favor
podemos,can
casa,home
gente,people
cosas,things
otro,other
día,day
buen,good
podría,could
debe,has to
necesito,need
había,there was
después,after
será,will be
hecho,made
señor,Sir
nuestro,our
vida,life
tener,have
sabe,know
quien,who
tenía,had
hablar,talk
buena,good
ellos,they
dije,said
toda,all
tipo,guy
fuera,out
estado,state
crees,do you believe
ven,come
sido,been
todas,all
tienen,have
menos,less
dice,says
haber,have
tres,three
cada,each
padre,father
años,years
hijo,son
nosotros,us
claro,clear
aún,still
seguro,sure
nuestra,our
gusta,like
espera,wait
ve,go
trabajo,job
lugar,place
verdad,TRUE
pasa,happens
debo,I must
alguna,some
quería,wanted to
unos,some
esos,those
luego,then
mas,further
oye,hey
quizá,maybe
van,they go
mí,my
hemos,we have
ti,you
estos,these
mismo,same
algún,some
pueden,they can
noche,evening
mundo,world
visto,seen
cosa,stuff
nombre,name
realmente,really
entre,between
buenas,hello good
ah,oh
somos,are
veo,I see
hizo,did
esas,those
parte,part
pues,well
saber,know
haciendo,doing
debes,you must
muchas,many
casi,almost
amigo,friend
hora,hour
quizás,maybe
dinero,money
hacia,toward
haces,you do
demasiado,too much
ud,You
pensé,I thought
madre,mother
deja,leaves
hoy,today
veces,times
debería,ought
contra,against
primera,first
mientras,while
cualquier,any
nuevo,new
todavía,still
debemos,must
ustedes,you
mal,evil
hombres,men
tanto,so much
salir,go out
digo,say
mujer,women
nueva,new
momento,moment
sería,I would be
papá,dad
ves,you see
da,da
hey,hey
importa,matters
cuánto,how much
días,days
cuál,which
espero,wait
mañana,tomorrow
dame,give me
vaya,Oh
iba,was going
mamá,mother
vi,I saw
déjame,let me
sabía,knew
ningún,none
buenos,good
dr,dr
durante,during
mierda,shit
forma,shape
allí,over there
hice,I did
único,only
sigue,go on
bajo,low
poder,can
acuerdo,agreement
volver,return
nuestros,our
haya,is
supongo,i guess
toma,take
siquiera,even
quieren,they want
chica,girl
dejar,leave
aunque,although
unas,nails
idea,idea
ay,Oh
dicho,saying
necesitamos,need
viene,comes
allá,there
ninguna,none
significa,means
hubiera,had
algunos,some
tomar,take
sra,mrs
dentro,inside
primer,first
llama,calls
gustaría,I would like
e,and
